id,label
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,68
56,68
57,68
58,68
59,68
60,68
61,64
62,64
63,64
64,64
65,64
66,56
67,56
68,56
69,56
70,56
71,56
72,56
73,56
74,56
75,56
76,56
77,56
78,56
79,40
80,40
81,40
82,40
83,40
84,39
85,45
86,45
87,45
88,45
89,45
90,45
91,45
92,45
93,0
94,0
95,0
96,6
97,6
98,6
99,54
100,6
101,6
102,6
103,6
104,25
105,6
106,47
107,31
108,47
109,47
110,47
111,47
112,46
113,46
114,46
115,43
116,43
117,57
118,57
119,57
120,57
121,57
122,57
123,57
124,57
125,57
126,57
127,57
128,57
129,8
130,8
131,8
132,8
133,8
134,8
135,8
136,56
137,56
138,56
139,56
140,56
141,56
142,56
143,56
144,56
145,56
146,56
147,45
148,45
149,45
150,45
151,45
152,45
153,18
154,18
155,18
156,18
157,18
158,18
159,18
160,18
161,18
162,6
163,15
164,15
165,15
166,15
167,15
168,15
169,15
170,15
171,15
172,15
173,47
174,47
175,36
176,47
177,43
178,43
179,43
180,43
181,43
182,43
183,43
184,8
185,8
186,8
187,8
188,8
189,44
190,44
191,44
192,44
193,44
194,44
195,44
196,44
197,44
198,44
199,44
200,44
201,44
202,44
203,44
204,44
205,44
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,18
214,18
215,18
216,18
217,18
218,18
219,18
220,18
221,18
222,18
223,18
224,18
225,18
226,18
227,18
228,18
229,56
230,56
231,56
232,56
233,56
234,56
235,56
236,56
237,56
238,56
239,56
240,56
241,56
242,56
243,56
244,56
245,56
246,56
247,25
248,25
249,25
250,25
251,25
252,25
253,25
254,25
255,25
256,25
257,25
258,25
259,25
260,25
261,25
262,25
263,25
264,25
265,25
266,25
267,22
268,22
269,22
270,22
271,22
272,22
273,22
274,22
275,22
276,22
277,22
278,22
279,22
280,22
281,22
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,56
311,56
312,56
313,56
314,56
315,56
316,56
317,56
318,56
319,56
320,56
321,56
322,56
323,56
324,56
325,56
326,56
327,40
328,40
329,40
330,40
331,40
332,40
333,40
334,40
335,40
336,40
337,40
338,40
339,40
340,40
341,40
342,46
343,46
344,46
345,35
346,35
347,35
348,35
349,35
350,35
351,35
352,35
353,35
354,35
355,37
356,37
357,37
358,45
359,45
360,45
361,45
362,45
363,45
364,22
365,43
366,43
367,43
368,43
369,43
370,43
371,43
372,43
373,8
374,8
375,8
376,8
377,8
378,45
379,45
380,46
381,46
382,46
383,58
384,58
385,58
386,58
387,58
388,58
389,58
390,58
391,58
392,58
393,58
394,58
395,58
396,58
397,25
398,25
399,25
400,46
401,46
402,46
403,46
404,46
405,68
406,68
407,68
408,68
409,68
410,68
411,63
412,63
413,63
414,63
415,63
416,63
417,44
418,44
419,44
420,44
421,44
422,44
423,44
424,39
425,39
426,39
427,39
428,39
429,67
430,67
431,67
432,67
433,67
434,67
435,67
436,67
437,36
438,36
439,36
440,59
441,59
442,59
443,59
444,35
445,35
446,35
447,35
448,35
449,36
450,36
451,36
452,69
453,69
454,69
455,69
456,69
457,69
458,69
459,56
460,56
461,43
462,43
463,34
464,34
465,34
466,34
467,34
468,44
469,44
470,44
471,44
472,44
473,44
474,44
475,44
476,44
477,6
478,6
479,6
480,6
481,6
482,6
483,6
484,6
485,6
486,6
487,6
488,6
489,6
490,6
491,56
492,56
493,56
494,56
495,56
496,56
497,56
498,56
499,56
500,58
501,58
502,58
503,58
504,58
505,58
506,58
507,58
508,64
509,64
510,64
511,64
512,35
513,35
514,35
515,35
516,35
517,35
518,36
519,36
520,36
521,69
522,69
523,69
524,69
525,69
526,69
527,69
528,69
529,69
530,69
531,69
532,69
